name,url
[BD]hbo *wj,https://stream1.freetv.fun/hbo--wj-2.m3u8
[BD]hbo(tw) *s[geo-blocked],https://stream1.freetv.fun/hbo--s-1.m3u8
[SD]hgtv *m[geo-blocked],https://stream1.freetv.fun/hgtv--m-1.ctv
[HD]ช่อง hgtv,https://stream1.freetv.fun/ch-ng-hgtv-1.m3u8
[HD]hsn2,https://stream1.freetv.fun/hsn2-1.m3u8
[SD]hsn,https://stream1.freetv.fun/hsn-2.m3u8
[HD]us hallmark channel,https://stream1.freetv.fun/us-hallmark-channel-1.ctv
[HD]hallmark channel east,https://stream1.freetv.fun/hallmark-channel-east-2.m3u8
[HD]hallo movies,https://stream1.freetv.fun/hallo-movies-2.m3u8
[BD]hallmark movies *s[geo-blocked],https://stream1.freetv.fun/hallmark-movies--s-1.m3u8
[HD]hallmark movies mysteries east,https://stream1.freetv.fun/hallmark-movies-mysteries-east-2.m3u8
[SD]hallmark movies more,https://stream1.freetv.fun/hallmark-movies-more-3.m3u8
[BD]hi-yah! (1080p)[geo-blocked],https://stream1.freetv.fun/hi-yah-1.m3u8
[BD]history 2 *m[geo-blocked],https://stream1.freetv.fun/history-2--m-1.ctv
[SD]viju history,https://stream1.freetv.fun/viju-history-3.m3u8
[SD]history[geo-blocked],https://stream1.freetv.fun/history-13.ctv
[BD]history hunters,https://stream1.freetv.fun/history-hunters-1.m3u8
[SD]pluto tv history,https://stream1.freetv.fun/pluto-tv-history-3.m3u8
[SD]beyond history,https://stream1.freetv.fun/beyond-history-1.m3u8
[HD]history hit,https://stream1.freetv.fun/history-hit-1.m3u8
[BD]history uhd *m[geo-blocked],https://stream1.freetv.fun/history-uhd--m-2.ctv
[SD]true history (720p),https://stream1.freetv.fun/true-history-3.m3u8
[BD]history tv18,https://stream1.freetv.fun/history-tv18-1.m3u8
[HD]us history,https://stream1.freetv.fun/us-history-1.ctv
[HD]history *m[geo-blocked],https://stream1.freetv.fun/history--m-2.ctv
[BD]pbs history,https://stream1.freetv.fun/pbs-history-1.m3u8
[BD]history *wj,https://stream1.freetv.fun/history--wj-1.m3u8
[BD]history2(usa) *s[geo-blocked],https://stream1.freetv.fun/history2--s-1.m3u8
[HD]ion plus east,https://stream1.freetv.fun/ion-plus-east-1.m3u8
[HD]ช่อง infowars,https://stream1.freetv.fun/ch-ng-infowars-1.m3u8
[SD]investigation discovery *m[geo-blocked],https://stream1.freetv.fun/investigation-discovery--m-1.ctv
[HD]id *m[geo-blocked],https://stream1.freetv.fun/id--m-1.ctv
[SD]id investigation discovery европа,https://stream1.freetv.fun/id-investigation-discovery-evropa-1.m3u8
